ID,SIZE,PREDICTED,ACTUAL
1,29,0.0031847133757961785,NO
1,175,0.006329113924050633,NO
1,36,0.006329113924050633,NO
1,112,0.0031847133757961785,NO
1,68,0.006329113924050633,NO
1,88,0.001597444089456869,NO
1,46,0.006329113924050633,NO
1,117,0.0031847133757961785,NO
1,74,0.006329113924050633,NO
1,28,0.006329113924050633,NO
1,26,0.002127659574468085,NO
1,29,0.0031847133757961785,NO
1,43,0.0031847133757961785,NO
1,34,0.001597444089456869,NO
1,26,0.002127659574468085,NO
1,53,0.0031847133757961785,NO
1,34,0.001597444089456869,NO
1,44,0.006329113924050633,NO
1,33,0.001278772378516624,NO
1,45,0.002127659574468085,NO
1,33,0.001278772378516624,NO
1,38,0.002127659574468085,NO
1,33,0.001278772378516624,NO
1,125,0.0031847133757961785,NO
1,86,0.0031847133757961785,NO
1,115,0.002127659574468085,NO
1,85,0.0031847133757961785,NO
1,56,0.006329113924050633,NO
1,76,0.0031847133757961785,NO
1,225,0.006329113924050633,NO
1,137,0.006329113924050633,NO
1,78,0.001597444089456869,NO
1,55,0.002127659574468085,NO
1,82,0.006329113924050633,NO
1,55,0.002127659574468085,NO
1,115,0.002127659574468085,NO
1,38,0.002127659574468085,NO
1,53,0.0031847133757961785,NO
1,30,0.006329113924050633,NO
1,34,0.001597444089456869,NO
1,95,0.006329113924050633,NO
1,69,0.002127659574468085,NO
1,38,0.002127659574468085,NO
1,61,0.006329113924050633,NO
1,132,0.002127659574468085,NO
1,149,0.006329113924050633,NO
1,210,0.0031847133757961785,NO
1,151,0.0031847133757961785,NO
1,39,0.002127659574468085,NO
1,45,0.002127659574468085,NO
1,48,0.006329113924050633,NO
1,33,0.001278772378516624,NO
1,98,0.006329113924050633,NO
1,117,0.0031847133757961785,NO
1,278,0.006329113924050633,YES
1,251,0.006329113924050633,NO
1,252,0.006329113924050633,NO
1,88,0.001597444089456869,NO
1,83,0.006329113924050633,NO
1,43,0.0031847133757961785,NO
1,107,0.002127659574468085,NO
1,35,0.0031847133757961785,NO
1,55,0.002127659574468085,NO
1,41,0.006329113924050633,NO
1,99,0.0031847133757961785,NO
1,75,0.006329113924050633,NO
1,40,0.0031847133757961785,NO
1,35,0.0031847133757961785,NO
1,39,0.002127659574468085,NO
1,101,0.006329113924050633,NO
1,508,0.006329113924050633,NO
1,47,0.006329113924050633,NO
1,142,0.006329113924050633,NO
1,106,0.006329113924050633,NO
1,62,0.006329113924050633,NO
1,210,0.0031847133757961785,NO
1,525,0.006329113924050633,NO
1,88,0.001597444089456869,NO
1,833,0.006329113924050633,NO
1,457,0.006329113924050633,NO
1,99,0.0031847133757961785,NO
1,151,0.0031847133757961785,NO
1,52,0.006329113924050633,NO
1,1045,0.006329113924050633,YES
1,39,0.002127659574468085,NO
1,89,0.006329113924050633,NO
1,100,0.002127659574468085,NO
1,336,0.006329113924050633,YES
1,312,0.006329113924050633,NO
1,78,0.001597444089456869,NO
1,81,0.002127659574468085,NO
1,107,0.002127659574468085,NO
1,112,0.0031847133757961785,NO
1,1040,0.006329113924050633,YES
1,232,0.006329113924050633,NO
1,72,0.0031847133757961785,NO
1,125,0.0031847133757961785,NO
1,798,0.006329113924050633,YES
1,265,0.006329113924050633,NO
1,72,0.0031847133757961785,NO
1,888,0.006329113924050633,YES
1,460,0.006329113924050633,NO
1,94,0.006329113924050633,YES
1,197,0.006329113924050633,NO
1,37,0.006329113924050633,NO
1,80,0.006329113924050633,YES
1,67,0.006329113924050633,NO
1,140,0.006329113924050633,NO
1,58,0.006329113924050633,NO
1,219,0.006329113924050633,NO
1,144,0.006329113924050633,NO
1,119,0.006329113924050633,NO
1,113,0.006329113924050633,NO
1,616,0.006329113924050633,NO
1,86,0.0031847133757961785,NO
1,92,0.006329113924050633,NO
1,81,0.002127659574468085,NO
1,127,0.006329113924050633,NO
1,67,0.006329113924050633,NO
1,115,0.002127659574468085,NO
1,78,0.001597444089456869,NO
1,159,0.006329113924050633,YES
1,485,0.006329113924050633,YES
1,246,0.006329113924050633,YES
1,60,0.006329113924050633,NO
1,114,0.006329113924050633,NO
1,305,0.006329113924050633,YES
1,45,0.002127659574468085,NO
1,898,0.006329113924050633,NO
1,189,0.006329113924050633,YES
1,26,0.002127659574468085,NO
1,626,0.006329113924050633,NO
1,378,0.006329113924050633,NO
1,395,0.006329113924050633,NO
1,107,0.002127659574468085,NO
1,85,0.0031847133757961785,NO
1,34,0.001597444089456869,NO
1,177,0.006329113924050633,NO
1,633,0.006329113924050633,NO
1,194,0.006329113924050633,NO
1,88,0.001597444089456869,NO
1,76,0.0031847133757961785,NO
1,564,0.006329113924050633,NO
1,590,0.006329113924050633,YES
1,222,0.006329113924050633,YES
1,115,0.002127659574468085,NO
1,81,0.002127659574468085,NO
1,54,0.006329113924050633,NO
1,69,0.002127659574468085,NO
1,129,0.006329113924050633,NO
1,582,0.006329113924050633,NO
1,181,0.006329113924050633,NO
1,33,0.001278772378516624,NO
1,323,0.006329113924050633,YES
1,40,0.0031847133757961785,NO
1,105,0.006329113924050633,NO
1,120,0.006329113924050633,YES
